"leave_id";"employee_id";"leave_type_clean";"start_date";"end_date";"leave_days_clean";"leave_status_clean"
1;11;"Sick Leave";"2025-09-10";"2026-07-23";5;"Approved"
5;50;"Sick Leave";"2026-05-24";"2026-07-29";5;"Approved"
8;64;"Casual Leave";"2025-01-13";"2025-05-25";1;"Pending"
10;73;"Sick Leave";"2026-01-20";"2026-01-31";1;"Approved"
11;73;"Casual Leave";"2025-11-03";"2025-11-22";5;"Approved"
12;73;"Earned Leave";"2025-04-12";"2026-01-01";2;"Approved"
14;87;"Casual Leave";"2026-07-17";"2026-08-23";1;"Approved"
17;145;"Sick Leave";"2025-01-16";"2026-06-08";1;"Rejected"
20;179;"Casual Leave";"2025-05-16";"2025-07-23";4;"Rejected"
21;182;"Earned Leave";"2025-02-20";"2026-03-07";3;"Rejected"
23;182;"Sick Leave";"2026-05-16";"2026-05-27";3;"Rejected"
24;245;"Casual Leave";"2025-08-24";"2026-06-26";4;"Rejected"
26;272;"Sick Leave";"2025-09-18";"2025-12-15";2;"Pending"
28;279;"Earned Leave";"2026-03-07";"2026-06-01";3;"Rejected"
29;295;"Sick Leave";"2026-02-05";"2026-08-24";2;"Approved"
38;335;"Casual Leave";"2025-03-29";"2026-05-04";2;"Approved"
39;352;"Earned Leave";"2025-07-23";"2025-09-14";2;"Pending"
40;369;"Earned Leave";"2025-10-01";"2025-10-25";1;"Rejected"
41;369;"Sick Leave";"2025-07-17";"2026-05-13";1;"Approved"
42;404;"Earned Leave";"2025-05-22";"2026-04-25";1;"Approved"
43;404;"Sick Leave";"2025-03-29";"2026-03-09";5;"Approved"
48;416;"Sick Leave";"2025-08-11";"2026-01-09";5;"Rejected"
53;469;"Earned Leave";"2026-02-24";"2026-08-10";1;"Approved"
54;484;"Casual Leave";"2025-01-19";"2025-11-03";2;"Rejected"
55;484;"Casual Leave";"2025-11-08";"2026-05-30";4;"Rejected"
60;517;"Sick Leave";"2025-01-07";"2025-11-08";2;"Rejected"
61;518;"Casual Leave";"2025-08-04";"2026-07-11";1;"Rejected"
64;1032;"Sick Leave";"2025-07-19";"2026-02-01";4;"Pending"
65;1032;"Casual Leave";"2025-11-05";"2026-04-15";1;"Approved"
66;9;"Casual Leave";"2025-03-13";"2026-07-06";2;"Approved"
67;21;"Casual Leave";"2025-08-15";"2026-06-27";5;"Approved"
68;36;"Sick Leave";"2025-04-23";"2026-05-29";3;"Approved"
