"performance_id";"employee_id";"review_date";"performance_rating_clean";"productivity_score_clean";"quality_score_clean";"manager_rating";"performance_status"
1;11;"2025-04-13";1.4;75.48;53.39;2.3;"Needs Improvement"
2;18;"2025-09-05";3.4;81.06;76.03;1.8;"Good"
3;18;"2025-07-30";2.7;81.51;65.58;1.9;"Needs Improvement"
4;22;"2026-04-07";4.0;53.11;67.21;3.4;"Average"
5;22;"2025-06-05";1.3;52.9;61.12;4.8;"Needs Improvement"
6;50;"2025-01-24";4.4;84.72;71.93;1.8;"Good"
7;51;"2026-06-19";2.2;70.9;49.75;5.0;"Good"
8;51;"2025-03-17";2.3;99.86;43.15;4.3;"Excellent"
9;64;"2026-05-24";4.8;57.65;46.08;1.5;"Good"
10;64;"2025-07-31";1.8;87.53;50.39;3.9;"Excellent"
11;72;"2025-10-13";3.5;61.68;60.79;2.9;"Good"
12;72;"2025-04-19";2.8;45.41;75.01;4.2;"Good"
13;87;"2026-01-21";3.1;61.76;45.03;4.7;"Good"
14;102;"2026-03-24";1.4;62.48;47.98;3.8;"Excellent"
15;129;"2026-03-28";4.6;69.465905;41.61;4.5;"Good"
16;145;"2026-02-28";3.9;78.44;72.8;2.8;"Average"
17;171;"2025-09-02";3.7;59.37;98.97;3.2;"Needs Improvement"
18;171;"2026-03-14";4.7;54.61;51.77;4.3;"Average"
19;179;"2025-09-09";1.6;97.32;91.47;2.8;"Average"
20;179;"2025-12-29";1.6;69.465905;79.62;3.8;"Average"
21;182;"2025-09-13";1.7;62.96;84.92;4.2;"Needs Improvement"
22;182;"2025-03-11";1.7;49.0;60.21;1.8;"Excellent"
23;245;"2026-07-08";1.3;47.5;81.99;2.0;"Excellent"
24;245;"2026-07-18";2.3;82.49;72.04;1.3;"Needs Improvement"
25;267;"2026-06-13";4.1;99.77;91.32;3.3;"Good"
26;272;"2025-12-18";2.7;86.82;40.75;1.2;"Excellent"
27;303;"2025-09-21";2.4;73.77;76.61;1.3;"Average"
28;303;"2025-11-27";3.9;83.93;65.34;4.0;"Good"
29;309;"2025-12-04";1.2;80.63;71.19;4.5;"Needs Improvement"
30;317;"2025-04-02";4.5;41.46;81.9;3.5;"Excellent"
31;317;"2026-01-18";3.7;69.465905;70.819535;1.1;"Excellent"
32;321;"2026-01-19";2.4;83.5;82.37;3.4;"Needs Improvement"
33;321;"2025-12-10";4.4;46.0;52.08;2.2;"Needs Improvement"
34;335;"2025-02-21";4.3;83.31;62.36;3.2;"Average"
35;335;"2026-03-13";3.3;57.89;71.67;3.3;"Good"
36;369;"2025-09-22";1.1;60.23;55.6;4.7;"Needs Improvement"
37;404;"2025-03-23";4.5;59.62;62.4;2.0;"Excellent"
38;411;"2025-08-28";4.0;74.9;70.819535;2.3;"Average"
39;416;"2026-01-25";4.0;54.24;90.52;3.7;"Needs Improvement"
40;416;"2026-05-03";3.7;76.42;64.76;3.1;"Good"
41;425;"2025-09-12";3.7;47.16;48.24;2.6;"Average"
42;425;"2026-07-21";1.5;90.33;89.76;4.8;"Excellent"
43;443;"2025-10-16";2.0;72.43;97.9;2.1;"Good"
44;443;"2025-06-03";3.5;68.7;70.54;4.9;"Good"
45;452;"2025-03-18";2.6;75.6;76.32;2.6;"Excellent"
46;469;"2026-01-11";2.8;93.29;90.06;4.5;"Needs Improvement"
47;469;"2026-05-01";0.0;50.25;47.23;4.3;"Needs Improvement"
48;484;"2025-05-02";1.3;69.465905;89.51;4.3;"Average"
49;496;"2025-05-25";1.6;69.29;41.03;4.2;"Needs Improvement"
50;497;"2025-11-21";4.5;96.48;95.53;4.9;"Excellent"
51;497;"2026-05-13";3.9;61.48;55.37;1.3;"Average"
52;534;"2026-08-17";4.1;83.73;95.3;1.6;"Needs Improvement"
53;534;"2026-05-03";4.4;43.43;59.91;4.8;"Needs Improvement"
54;535;"2025-01-20";3.0;98.98;57.18;4.6;"Average"
55;535;"2026-02-27";1.2;68.5;78.39;4.8;"Needs Improvement"
56;1032;"2026-08-14";4.1;95.26;69.7;2.3;"Excellent"
57;1032;"2026-04-16";4.4;45.87;52.18;3.9;"Needs Improvement"
58;21;"2026-08-13";1.6;44.89;49.61;4.0;"Good"
59;21;"2025-09-13";2.2;94.94;80.61;3.9;"Average"
60;26;"2025-12-08";3.7;95.56;64.93;2.4;"Average"
61;40;"2025-08-09";3.9;71.01;56.42;1.3;"Average"
62;40;"2026-08-05";2.9;45.04;65.54;2.3;"Good"
63;52;"2025-10-05";4.2;96.14;77.75;2.9;"Average"
64;52;"2025-09-19";2.9;56.79;97.57;2.3;"Average"
65;54;"2026-06-22";3.4;73.87;53.12;2.4;"Excellent"
66;54;"2025-10-01";4.9;75.34;60.21;4.3;"Excellent"
67;86;"2026-05-21";1.4;72.33;54.12;3.7;"Average"
68;86;"2026-02-06";1.6;77.86;83.75;3.7;"Excellent"
69;111;"2026-01-25";3.4;70.53;57.43;3.2;"Needs Improvement"
70;111;"2025-05-18";4.6;50.23;44.6;2.7;"Needs Improvement"
71;146;"2026-05-02";1.5;51.32;64.25;1.2;"Needs Improvement"
72;148;"2026-03-19";4.4;81.15;58.04;2.2;"Average"
73;159;"2025-08-05";2.2;70.57;97.05;3.7;"Good"
74;159;"2025-12-09";3.1;40.58;62.36;1.9;"Needs Improvement"
75;167;"2025-12-07";4.2;50.63;47.73;4.4;"Needs Improvement"
76;168;"2025-01-17";1.3;99.91;62.76;1.3;"Excellent"
77;170;"2026-03-27";2.1;65.59;79.12;2.2;"Average"
78;186;"2025-07-09";2.7;42.57;44.56;4.4;"Excellent"
79;188;"2025-02-11";4.1;42.19;85.14;1.2;"Needs Improvement"
80;190;"2025-12-22";3.2;40.24;50.98;5.0;"Good"
81;190;"2026-03-24";1.8;50.62;71.18;4.1;"Good"
82;203;"2026-01-24";4.1;69.465905;98.06;2.7;"Excellent"
