"salary_id";"employee_id";"salary";"effective_date";"salary_increment_percent_clean"
1;11;131100.0;"2015-01-21";0.9
2;11;162000.0;"2015-03-17";6.5
3;18;203200.0;"2019-10-15";6.9
4;18;135000.0;"2022-07-17";2.3
5;18;222800.0;"2018-06-07";9.6
6;22;158700.0;"2025-08-19";10.7
7;50;53500.0;"2022-05-21";5.7
8;51;191100.0;"2019-04-23";4.1
9;64;196500.0;"2017-05-09";1.7
10;64;121800.0;"2023-11-22";13.9
11;72;153400.0;"2023-03-16";3.4
12;72;56000.0;"2019-03-07";23.3
13;72;124400.0;"2024-12-12";0.0
14;73;34300.0;"2026-04-08";23.4
15;73;249900.0;"2025-06-15";0.3
16;73;41300.0;"2016-01-30";24.5
17;87;205100.0;"2021-05-19";5.0
18;102;38800.0;"2023-10-19";22.9
19;102;143000.0;"2016-08-17";6.2
20;129;166800.0;"2025-01-09";18.2
21;129;247700.0;"2017-10-19";12.9
22;145;90500.0;"2017-10-31";1.3
23;160;196200.0;"2017-12-05";4.8
24;160;209600.0;"2015-05-24";11.1
25;171;59800.0;"2020-07-04";5.4
26;171;203900.0;"2016-04-05";12.2
27;179;118000.0;"2018-09-27";23.8
28;179;239500.0;"2018-08-02";14.0
29;182;249900.0;"2022-10-14";22.7
30;245;55400.0;"2021-06-23";9.0
31;267;27100.0;"2025-04-08";12.5
32;267;136400.0;"2025-01-26";21.0
33;267;48800.0;"2025-12-03";7.9
34;272;122400.0;"2018-11-17";23.2
35;272;153700.0;"2020-02-25";7.0
36;279;27500.0;"2016-10-29";8.1
37;279;195900.0;"2023-09-06";5.5
38;295;27700.0;"2026-02-05";1.3
39;295;230900.0;"2022-01-24";19.7
40;303;67500.0;"2023-03-22";0.0
41;309;136800.0;"2017-02-07";14.2
42;309;59100.0;"2017-08-19";19.0
43;317;158200.0;"2025-05-01";22.1
44;317;189600.0;"2024-07-03";5.2
45;321;133100.0;"2023-07-15";3.1
46;328;69300.0;"2024-04-01";18.5
47;328;212900.0;"2025-10-27";4.5
48;328;235300.0;"2024-02-02";9.1
49;335;207800.0;"2025-07-29";1.0
50;335;114200.0;"2019-12-29";15.1
51;352;145900.0;"2020-07-05";12.1
52;352;221200.0;"2016-12-03";14.9
53;352;214900.0;"2017-09-27";14.5
54;404;120500.0;"2026-05-11";9.1
55;411;204700.0;"2024-05-30";0.6
56;411;43700.0;"2018-09-17";21.3
57;411;96600.0;"2015-09-27";15.9
58;416;140200.0;"2018-07-15";0.0
59;416;120200.0;"2024-11-16";13.7
60;425;114600.0;"2020-08-12";19.2
61;425;62000.0;"2021-04-04";12.6
62;469;105200.0;"2016-04-27";4.5
63;469;114100.0;"2024-05-30";1.5
64;484;192500.0;"2015-04-21";10.3
65;494;153000.0;"2023-10-14";6.8
66;494;83700.0;"2018-01-01";20.8
67;496;136900.0;"2016-06-16";8.2
68;496;42200.0;"2023-08-08";7.7
69;496;45200.0;"2020-02-03";9.9
70;497;139500.0;"2016-06-25";5.1
71;518;89900.0;"2026-06-14";14.6
72;534;205600.0;"2023-02-14";12.5
73;534;49000.0;"2016-12-28";5.2
74;534;110600.0;"2023-01-20";17.5
75;535;28900.0;"2024-05-12";0.0
76;535;38900.0;"2023-01-09";10.6
77;1032;207300.0;"2019-07-30";15.1
78;1032;222400.0;"2019-04-23";2.1
79;9;241600.0;"2017-03-17";19.6
80;9;172100.0;"2024-05-23";4.0
81;21;183100.0;"2017-05-03";23.2
82;26;127000.0;"2024-02-11";16.0
83;26;27300.0;"2025-04-11";12.8
84;26;181900.0;"2023-07-27";23.3
85;36;223200.0;"2018-05-16";6.0
86;40;204300.0;"2019-08-20";22.9
87;54;121600.0;"2015-03-24";24.8
88;54;177400.0;"2024-02-19";7.9
89;93;56700.0;"2024-09-16";11.6
90;93;76800.0;"2021-06-19";22.9
91;111;98400.0;"2026-05-10";20.9
92;111;241000.0;"2025-08-08";22.1
93;111;140000.0;"2024-11-06";4.5
94;146;171500.0;"2022-01-01";15.7
95;148;145100.0;"2019-08-10";20.1
96;167;203500.0;"2026-02-04";8.1
97;167;138500.0;"2022-04-14";9.2
98;168;221400.0;"2020-03-17";21.8
99;168;131100.0;"2016-03-28";7.4
100;168;176000.0;"2015-03-22";8.8
101;170;140000.0;"2015-03-11";17.4
102;170;217000.0;"2015-08-31";11.8
103;186;117600.0;"2021-06-30";6.4
104;186;198500.0;"2018-10-30";19.0
105;188;230600.0;"2018-04-22";15.4
106;188;59200.0;"2023-09-12";9.0
107;190;213000.0;"2026-04-20";2.1
108;190;192500.0;"2016-06-05";14.2
109;203;249000.0;"2023-06-27";7.6
110;203;55200.0;"2020-02-04";18.4
111;206;244600.0;"2016-12-18";3.0
112;229;177000.0;"2025-01-05";0.6
113;229;164300.0;"2022-10-31";17.4
114;257;51200.0;"2017-03-13";11.4
115;257;243100.0;"2020-02-01";4.7
116;257;158000.0;"2024-12-03";3.0
117;261;151500.0;"2018-10-03";18.8
118;274;28600.0;"2015-02-12";0.0
119;275;29500.0;"2020-06-16";3.4
120;275;129300.0;"2018-04-18";8.9
121;291;226500.0;"2026-03-27";1.5
122;346;182200.0;"2019-07-23";6.1
123;346;138700.0;"2019-12-10";21.9
124;350;198100.0;"2019-09-15";11.5
125;350;37700.0;"2015-03-29";15.3
126;350;122900.0;"2019-09-30";13.8
127;368;206900.0;"2021-06-09";4.9
128;373;73000.0;"2026-06-10";17.2
129;383;46800.0;"2017-03-07";17.9
130;422;136200.0;"2025-12-02";12.0
131;464;229400.0;"2025-08-28";19.0
132;464;51800.0;"2019-01-30";0.5
133;465;120100.0;"2021-01-24";6.6
134;465;79100.0;"2021-09-21";6.5
135;466;222300.0;"2025-05-15";17.2
136;488;146100.0;"2025-03-28";12.8
137;488;189900.0;"2020-10-07";1.0
138;514;74700.0;"2018-06-21";8.2
139;514;144600.0;"2018-12-27";16.4
140;1031;69000.0;"2025-05-13";22.5
141;1034;39300.0;"2015-11-26";19.4
142;1034;25300.0;"2017-06-12";16.5
143;1037;164100.0;"2023-06-04";21.1
144;1037;176600.0;"2016-09-14";3.9
145;1;130000.0;"2021-02-03";16.4
146;10;179600.0;"2024-09-08";5.7
147;25;204200.0;"2023-01-16";11.1
148;27;222200.0;"2015-09-08";4.2
149;37;194200.0;"2026-02-13";24.9
150;57;72400.0;"2018-11-04";4.9
151;90;42400.0;"2016-11-13";10.4
152;96;125700.0;"2017-07-12";3.1
153;96;118000.0;"2026-05-31";15.8
154;103;99400.0;"2020-06-03";10.3
155;116;105500.0;"2023-05-06";15.0
156;116;215500.0;"2017-11-02";18.2
157;119;181400.0;"2025-04-22";7.3
158;119;139100.0;"2023-01-31";21.5
159;137;245800.0;"2026-03-13";17.4
160;137;96100.0;"2016-02-25";11.4
161;139;226500.0;"2018-08-29";14.2
162;153;233300.0;"2017-11-17";15.6
163;175;150300.0;"2020-05-06";21.8
164;175;117800.0;"2024-09-06";8.4
165;218;104700.0;"2022-08-09";5.8
166;218;126200.0;"2026-01-23";10.5
167;285;124000.0;"2017-11-11";21.9
168;311;42200.0;"2017-12-11";12.3
169;311;31900.0;"2017-11-18";1.4
170;320;103900.0;"2016-07-28";18.7
171;325;27000.0;"2024-12-06";21.6
172;325;175700.0;"2026-05-15";17.6
173;332;108400.0;"2018-09-29";15.0
174;332;134700.0;"2015-09-22";1.8
175;357;121000.0;"2019-10-29";20.8
176;357;228700.0;"2021-01-22";0.4
177;407;147100.0;"2023-09-30";14.9
178;407;124400.0;"2025-01-18";15.1
179;418;189800.0;"2023-10-23";21.6
180;418;150300.0;"2020-08-23";11.2
181;430;220800.0;"2015-04-15";12.4
182;433;82200.0;"2022-03-09";23.3
183;433;201900.0;"2022-01-17";17.2
184;439;158700.0;"2026-03-06";11.8
185;439;79100.0;"2024-04-06";3.0
186;453;247100.0;"2025-10-07";19.7
187;461;114300.0;"2023-08-25";14.8
188;461;129100.0;"2021-07-31";16.3
189;462;144000.0;"2015-05-09";18.5
190;462;206800.0;"2015-04-02";8.9
191;480;110800.0;"2021-04-26";9.2
192;502;27500.0;"2026-05-23";15.6
193;502;244200.0;"2023-09-30";3.0
194;505;77500.0;"2025-06-03";11.0
195;505;240600.0;"2016-08-17";18.6
196;510;222600.0;"2023-04-26";18.4
197;510;71200.0;"2021-08-05";13.5
198;515;155100.0;"2022-07-05";17.4
199;523;243800.0;"2025-04-07";1.2
200;528;193600.0;"2019-05-02";1.2
201;531;137200.0;"2020-11-09";18.2
202;531;87700.0;"2025-07-01";22.6
203;531;243600.0;"2024-09-25";1.3
204;533;105900.0;"2025-03-22";4.2
205;533;164400.0;"2021-12-25";1.6
206;34;65400.0;"2019-06-29";22.5
207;56;152800.0;"2015-12-10";6.9
208;56;135500.0;"2022-08-24";6.6
209;83;228200.0;"2019-07-12";2.9
210;115;219200.0;"2020-06-21";13.2
211;115;187300.0;"2024-07-01";8.9
212;121;215400.0;"2019-01-31";3.1
213;128;44000.0;"2025-10-19";9.9
214;128;121500.0;"2025-06-21";15.0
215;136;72500.0;"2020-02-29";17.7
216;136;234000.0;"2019-10-08";4.8
217;165;224900.0;"2016-11-27";8.1
218;165;170600.0;"2024-12-14";8.4
219;165;163900.0;"2020-11-05";23.3
220;193;197800.0;"2021-03-12";8.2
221;193;118300.0;"2022-04-05";16.7
222;194;165500.0;"2024-01-07";22.1
223;216;192000.0;"2025-01-18";2.4
224;216;233200.0;"2020-10-05";3.6
225;216;78500.0;"2021-09-23";7.8
226;227;127000.0;"2024-08-04";13.8
227;231;237100.0;"2023-09-18";13.3
228;231;44100.0;"2021-08-22";10.8
229;246;27700.0;"2018-02-26";21.4
230;246;208800.0;"2017-11-20";6.7
231;248;49800.0;"2025-07-24";13.8
232;251;77200.0;"2020-04-19";16.4
233;251;94400.0;"2017-01-11";6.5
234;251;102000.0;"2020-01-15";12.7
235;256;184500.0;"2019-08-31";7.2
236;259;105200.0;"2021-07-27";5.6
237;270;75100.0;"2024-06-26";20.1
238;290;87800.0;"2018-01-10";15.0
239;297;136700.0;"2019-03-02";13.0
240;301;37600.0;"2023-06-16";8.3
241;301;186100.0;"2016-09-27";14.6
242;301;197300.0;"2020-12-07";21.6
243;306;194300.0;"2019-02-09";14.4
244;306;185800.0;"2023-02-27";22.2
245;306;126500.0;"2021-10-10";4.9
246;308;117900.0;"2020-05-09";1.2
247;330;224200.0;"2017-04-23";3.5
248;333;220900.0;"2020-10-15";0.4
249;333;191000.0;"2022-02-16";14.4
250;342;105900.0;"2016-09-06";20.6
251;342;97800.0;"2016-08-17";6.5
252;342;177400.0;"2016-04-13";7.3
253;347;98300.0;"2026-06-09";24.9
254;390;219100.0;"2017-04-17";11.2
255;390;182800.0;"2020-07-09";1.2
256;390;156500.0;"2025-03-08";18.0
257;419;80600.0;"2024-06-16";9.7
258;428;165300.0;"2017-08-18";16.9
259;431;44700.0;"2021-04-18";18.3
260;431;239400.0;"2015-11-20";10.1
261;431;249600.0;"2022-08-16";15.4
262;434;185300.0;"2017-08-16";0.0
263;434;175200.0;"2018-10-18";6.2
264;434;193100.0;"2024-08-30";7.1
265;455;206000.0;"2019-12-12";9.9
266;471;89800.0;"2017-11-13";4.1
267;477;32200.0;"2017-01-10";10.0
268;477;51700.0;"2021-07-08";17.2
269;499;25700.0;"2026-03-08";8.7
270;499;212000.0;"2022-04-13";11.6
271;499;56800.0;"2024-01-08";3.4
272;511;148400.0;"2016-11-25";10.3
273;511;103400.0;"2017-03-11";24.2
274;511;177400.0;"2015-06-12";17.2
275;1024;174200.0;"2026-06-12";23.9
276;1035;138400.0;"2026-01-13";13.7
277;2;174100.0;"2023-06-06";4.7
278;8;154300.0;"2021-11-15";13.4
279;24;44000.0;"2021-06-13";1.7
280;32;57600.0;"2026-06-19";19.0
281;32;134200.0;"2026-02-04";23.8
282;48;236900.0;"2021-09-09";16.9
283;48;155900.0;"2021-04-12";7.1
284;48;140500.0;"2016-08-26";11.5
285;59;44800.0;"2026-06-14";14.7
286;78;149100.0;"2017-05-16";6.7
287;78;75100.0;"2020-09-27";16.0
288;109;158100.0;"2022-04-11";1.2
289;109;78000.0;"2025-11-24";7.9
290;127;137800.0;"2015-05-27";6.1
291;127;101700.0;"2015-09-06";4.7
292;127;26700.0;"2023-01-12";6.3
293;147;232200.0;"2016-05-25";21.6
294;149;99600.0;"2022-05-21";4.0
295;149;88000.0;"2025-11-02";13.3
296;149;162600.0;"2025-09-29";9.7
297;161;232800.0;"2019-03-31";6.6
298;161;187500.0;"2018-06-16";19.5
299;164;200900.0;"2022-06-11";12.8
300;181;78600.0;"2016-01-04";9.0
301;244;116100.0;"2024-10-16";16.5
302;244;229800.0;"2015-02-28";16.3
303;252;83200.0;"2021-06-30";13.7
304;252;201600.0;"2026-05-24";0.6
305;266;145800.0;"2023-04-06";18.9
306;276;140400.0;"2017-03-01";11.2
307;281;209500.0;"2015-01-04";18.0
308;283;241400.0;"2022-07-12";24.3
309;293;96500.0;"2017-06-23";24.3
